Yorum,Puan,Tarih,Yıl,Ay
uygulamaya girmek bile sıkıntılı giriş yapıyorum ama tekrar giriş sayfasına yönlendiriyor,1,2025-06-30 21:43:34,2025,6
kimlik doğrulatamıyorum selfie kısmında sürekli hata veriyor,1,2025-06-30 15:55:06,2025,6
"Şifrenin süresi dolduğu için değiştirmemi istiyor, yeni şifreyi yazdığımda ""Devam et"" butonu aktif olmuyor",2,2025-06-30 12:52:53,2025,6
Uygulama güzel ama kartı bir kere kullanınca internet alışverişine kapanıyor daha doğrusu parada yatıramıyorum kart kullanılamaz hale geliyor,5,2025-06-30 02:02:53,2025,6
çok iyi Paycell,5,2025-06-29 17:25:17,2025,6
Sürekli kesinti yapıyor sebebini anlamıyorum. Açıklama yapılmıyor. Bir ay içerisinde 4yeya 5kez kesinti yapıyor. Bazen 100 bazen 400 tl ye varıyor. Hiç memnun değilim. Lütfen bu uygulamayı düzeltin yada açıklama yapın. Yoksa şikayette bulunacağım,1,2025-06-29 11:17:59,2025,6
Yurtdışı para transferinde pişmanlık duyulan bir uygulama.,1,2025-06-29 10:21:58,2025,6
insanları resmen soyuyorsunuz faturaya 1 oyun aldim 19.99 kuruşa 44 tl fark yazmışsınız. faturama yansitmişsiniz ben hakkınızda cumhuriyet başsavcılığına suc duyurusunda bulunacagim bunu böylece bilin ?,1,2025-06-28 21:51:24,2025,6
hesap doğrulamasını Türkcell genel merkezden yaptık. 20 dk sonra link mesajı gelecek dediler 5 saat geçti hala gelmedi,2,2025-06-28 20:19:29,2025,6
cidden çok iğrenç bir uygulama bu uygulamayı kullanmayın kullandırtmayın sürekli kimlik doğrulaması istiyor eskiden para yüklerken istemiyordu ama artık yeni güncelleme ile birlikte kimlik doğrulaması istiyor çok saçma bir sistemleri var,1,2025-06-28 18:31:10,2025,6
rakip uygulamalar fatura ödemeye üstüne para verirken sizin işlem ücreti kesmeniz hiç mantıklı değil.,3,2025-06-28 17:12:21,2025,6
haberim olmadan para kesiliyor,1,2025-06-28 13:46:11,2025,6
"NFC kimlik okuma çalışmıyor. 5 kere denedim. Algılamıyor. EDİT: Tekrar tekrar denedim, çözüldü ama uğraştırdı saatlerce.",3,2025-06-28 13:23:29,2025,6
Wi-Fi kapatmamı istiyor ama kapatınca da İnternet bağlantısı yok diyor affedersiniz ama ben interneti vahiyle mi çekeyim? benden böyle bir beklentiniz varsa üzgünüm ben peygamber değilim vahiy ile İnternet'e erişemem,1,2025-06-28 11:59:29,2025,6
Pek işime yaramadi üstelik üyelik ücreti adı altinda para kesiyorlar,1,2025-06-28 11:13:36,2025,6
gerçekten çok kullanışlı çok avantajlı bir sürü imkan sağlıyor ve kuponları ile beraber güzel bir uygulama,5,2025-06-28 06:44:00,2025,6
Ben salla topla yapamıyorum heralde telefon desteklemiyor lütfen tıklayarak yapma özelliği gelsin.Kolay Gelsin,1,2025-06-27 17:34:06,2025,6
on numara,5,2025-06-27 15:23:28,2025,6
Durduk yere kimlik doğrulama işi çıkardınız kardeşim kaç defa doğrulayacağız? Adam gibi çalışsa neyse yarım saattir uğraşıyorum ne selfiesi düzgün çalışır ne nfcsi. Aferim böyle kullanıcı kaybedin daha da elimi sürmem şu uygulamaya sizinle mi uğraşıcam?,1,2025-06-27 11:40:42,2025,6
sakın indirmeyin sizi karşılıyorlar,1,2025-06-27 09:10:08,2025,6
işe yarar hediye vermiyor salla topla hep gereksiz :D,1,2025-06-27 07:48:15,2025,6
ben hesabımı doğrulamadan internetten alışveriş yapabilir miyim,5,2025-06-26 18:03:08,2025,6
"Çok kötü bir uygulama kartınıda almayın hiç bir vasfı yok online alışveriş, online işlemler yapılmıyor",1,2025-06-25 17:50:20,2025,6
kullanılabilir bakiye olarak hesabımda bakiye gözüküyordu. bunu karta aktar dedikten sonra birde faturama ekleme yapmış. insanları kandırmak oluyor bu.,1,2025-06-25 01:15:46,2025,6
Papara ya para atılmıyor mu? Banka kartlarına atılmıyordu da Papara ya atılıyordu? Eğer ona da atılmıyorsa kullanılmaz artık,1,2025-06-25 00:19:28,2025,6
berbat birsey . kurdum ve kaldırdım.,1,2025-06-24 19:57:21,2025,6
hiçbir işlem yapmadan ödeme kesilmiş bunedir ya hattı en yakın zamanda değiştireceğim,1,2025-06-24 11:04:57,2025,6
B..tan bi uygulama gelen iadeleri cok bekletiyorlar bulaşmayın.. 2022 de yaptığım yorum bu Hala aynı sorun devam ediyor iadeler çok geç geliyor ayıp yaaaaaa,1,2025-06-23 23:42:15,2025,6
veli beyanı doğrulaması olmuyor sms gönderilemiyor konuyla ilgili mail attım hiçbir şekilde düzgün bi çözüm sunmadılar müşteri hizmetleri uygulamayı silip tekrsr yükleyin dediler dalga geçer gibi,1,2025-06-23 17:13:03,2025,6
1 yıldız bile fazla böyle gereksiz bir uygulama için. Turkcell'e özel hiç avantajı yok.,1,2025-06-23 16:22:24,2025,6
cokniyi ve guzel bir uygulama cok faydali,5,2025-06-23 08:25:02,2025,6
SMS gelmiyor,1,2025-06-22 22:47:20,2025,6
bence bidaha kart çikarmayın yeni kart aldım giremiyorum herşeyi denedim olmuyo gidipte almayın yani papara kapanmasaydı keşke,1,2025-06-22 18:53:34,2025,6
hicbir ise yaramiyor,1,2025-06-22 09:17:45,2025,6
Çok güzel bir uygulama banka ile uğraşmaya gerek olmadan yapay zeka ile amarikaya ödeme imkanı hem güvenli bu sistem Turksel güvencesiyle çok güzel bir uygulama bence herkese tavsiye ederim,5,2025-06-21 19:27:57,2025,6
arkadaşlar selfi yapmak çok zor bide kimlik bilgileri istiyor yapamadım para aktarma Zor hesaplar arası,1,2025-06-21 12:07:38,2025,6
"Günlerdir trumore ile birlikte TOGG araç başvurusu için selfie ile kimlik doğrulaması yapamıyorum, her seferinde hata veriyor, kimlik doğrulaması yapamıyor. Bu kadar da olmaz.",1,2025-06-21 06:34:23,2025,6
👍👍👍,4,2025-06-20 03:57:14,2025,6
Doğrulama işlemi için telefonunuzda NFC özelliğinin olması gerekiyor diyor. Ama telefonumda NFC yok. Lütfen bu özelliği NFC'siz bir şekilde yapabilelim. 😭😭,2,2025-06-19 21:08:33,2025,6
Bir yıldız vermemin nedeni uygulama da NFC sorununu var hesabımı doğrulayamıyorum NFC kimliği okumuyo bunu düzeltmeniz lazım,1,2025-06-19 19:17:02,2025,6
Google Play Store servisinden 19.06.2025 15:41:37 tarihinde 49.99 TLlik Faturana Yansitla odeme isleminiz gerceklesmistir. böyle bir işlem yapmadım uygulama yüklü bile degʻil bu ne demek???,2,2025-06-19 17:14:57,2025,6
Kimlik doğrulama da sorun yaşıyorum. Redmi cihaz kullanıyorum müşteri temsilcisiniz yeni bir güncelleme olduğunu we güncelleme sonrası bu sorunun düzeleceğini söylemişti. Fakat hala yeni bir güncelleme görünmüyor.,2,2025-06-19 17:08:12,2025,6
uygulamaya giremiyirum aynı telefonda girmeme rağmen 30gun beklememi söylüyor okadar zamanım yok,1,2025-06-19 13:51:48,2025,6
"Hesabıma para aktarabilmem için komisyon ödemem gerekiyor. Fast, EFT, banka kartı ..vs hepsi aynı. ne biçim iş. indirimi benden komisyonlarla geri alıyor. Vodafone da komisyon ödemiyorum. turkcell faturamı ödemek için bile komisyon vereceksem sizin yapacağınız ödeme sisteminden bir cacık olmaz.",1,2025-06-18 18:16:55,2025,6
Hesap doğrulaması da yaparak kampanyalar ve bazı para transferleri için yaklaşık üç yıldır aktif olarak kullandığım bir uygulama. Kampanyalarda bir iki defa hariç önemli bir sorun yaşamadım bugüne kadar. Kampanyalara yönelik harcamalarda nakit iadenin hemen yapılması çok güzel.,5,2025-06-18 09:52:02,2025,6
